product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
PORSCHE DESIGN FULL METAL,,,,"L4D2D3-4,BOX-3",7.0,,800.0,,800.0,EXX
GUCCI FULL METAL SQURE ,,,,"BOX-2,CT5-1",3.0,,800.0,,800.0,EXX
GUCCI FULL AVIATOR,,,,BOX-8,8.0,,900.0,,900.0,EXX
DITA FULL METAL,,,,BOX-4,4.0,,800.0,,800.0,EXX
SPIKE SHEET,,,,NA,0.0,,300.0,,300.0,CT
CLASSIC SHEET,,,,C8R1-1,2.0,,300.0,,300.0,CT
SLEEK FULL METAL,,,,C8R1-12,12.0,,300.0,,300.0,CT
PARI FULL METAL,,,,C8R1-2,2.0,,300.0,,300.0,CT
BOB MANDATORY,AX,,,CT10-1,1.0,,350.0,,350.0,
CAPS SHEET,EXX,,,DS3-1,1.0,,450.0,,450.0,
VERVE FIX PAD METAL,EXX,,,L3D5S2-2,2.0,,450.0,,450.0,
OH LA LA,EXX,,,D9-1,1.0,,450.0,,450.0,
MIMI CLASSIC,AX,,,DISLAY(DAMAGE),0.0,,450.0,,450.0,
COME UP,AX,,,"L5D1S2-2,DS3-1",3.0,,300.0,,300.0,
FRANCE,AX,,,D9-1,1.0,,300.0,,300.0,
MENEING,EXX,,,"L1D2S3-1,THD-1",2.0,,400.0,,400.0,
KRLSH,AX,,,D10-1,1.0,,300.0,,300.0,
DENTEL,AX,,,DS3-1,1.0,,300.0,,300.0,
ACETATE D BAR,EXX,,,"D9-1,L6D6S2-3",4.0,,500.0,,500.0,
RAYBAN ACETATE,EFX,,,na,0.0,,1100.0,,1100.0,
SKY BORN ACETATE,EXX,,,na,0.0,,650.0,,650.0,
METAL RING TR,EXX,,,CT8-1,1.0,,500.0,,500.0,
WILTON,AX,,,"L2D4S2-2,D9-1",3.0,,400.0,,400.0,
ORION,AX,,,"D9-1,L6D6S1-2",3.0,,300.0,,300.0,
GANGSTER,EXX,,,"DS4-1,CT8-2",3.0,,550.0,,550.0,
ESCAPE MB,AX,,,"CT3-2,CT7-1",3.0,,300.0,,300.0,
TOM HILL BOTIM,AX,,,CT7-1,0.0,,300.0,,300.0,
CHRISTIAN,EXX,,,"T18-8,CT2-2,DS4-3",13.0,,500.0,,500.0,
TESPORT,AX,,,L2D3S1-1,1.0,,450.0,,450.0,
COPPER METAL,EXX,,,R1-1,1.0,,450.0,,450.0,
ULTRA WATCH,EXX,,,NA,0.0,,400.0,,400.0,
TOM LEO,AX,,,NA,0.0,,400.0,,400.0,
ESCAPE TR METAL SIDE,AX,,,L5D3S1-1,1.0,,450.0,,450.0,
TR ROUND GUCCI,EXX,,,NA,0.0,,500.0,,500.0,
TR OAKLEY,EXX,,,D9-1,1.0,,500.0,,500.0,
DISCOVERY EYES METAL,EXX,,,NA,0.0,,500.0,,500.0,
DIOR DELTA,EXX,,,DS4-1,1.0,,900.0,,900.0,
CARRERA DELTA,EXX,,,NA,0.0,,900.0,,900.0,
CARTIER DELTA,EXX,,,"T49S3-3,CT8-1",4.0,,900.0,,900.0,
BOSS DELTA,EXX,,,"L2D6S1-2,CT12-2",4.0,,900.0,,900.0,
TOM FORD DELTA,EXX,,,"DS4-1,D10-1",2.0,,900.0,,900.0,
POLICE DELTA,EXX,,,L4D5S2-1,1.0,,900.0,,900.0,
