product_code,lens_width,brands,location,type,comments,mrp,cost_price,sale_price_s,sale_price_a,stock
FTP308_BR3F_M,,,A12,,,1395.0,,,,-1
FTP176_BR1FP_M,,,A12,,,1595.0,,,,0
FTP180_PR2F_M,,,A12,,,995.0,,,,0
FTP161_BK2F_M,,,A12,,,1695.0,,,,0
FTP190_BK1_M,,,A12,,,995.0,,,,0
FTP089_BR2_M,,,A12,,,950.0,,,,0
FTP335_BR1F_M,,,A10,,,1495.0,,,,0
FTP161_BR1F_M,,,A8,,,1850.0,,,,-1
FTP185_PR2F_M,,,A12,,,1195.0,,,,0
FTP150_BK3F_M,,,A12,,,1795.0,,,,0
FTP317_BK1_M,,,A12,,,1495.0,,,,0
FTP236_BK1_M,,,A12,,,1195.0,,,,0
TH5647_C6_50,,,D1,,,6725.0,,,,0
TH5643_C3_52,,,D1,,,6725.0,,,,0
TH5221_C4_51,,,D1,,,6725.0,,,,0
TH5687_C3_52,,,D1,,,7500.0,,,,0
TH5296_C1_51,,,D1,,,8160.0,,,,1
TH5604_C4_53,,,D1,,,6885.0,,,,1
TH5680_C2GD_51,,,D1,,,6885.0,,,,1
TH5690_C4_52,,,D1,,,7500.0,,,,0
TH5680_C1_51,,,D1,,,6885.0,,,,1
TH5704_C1_52,,,D1,,,6885.0,,,,0
TH5637_C2_54,,,D1,,,7500.0,,,,0
TH5240_C1_50,,,D1,,,6885.0,,,,1
TH5233_C1_51,,,D1,,,6725.0,,,,0
G163_PUALS_63,,,D1,,,2195.0,,,,0
G182_CLFLAC_60,,,D1,,,3295.0,,,,0
G209_LTML9D_55,,,D1,,,3395.0,,,,0
G246_PTMLMA_58,,,D1,,,3195.0,,,,0
G259_PTMLMB_59,,,D1,,,3195.0,,,,0
G244_PTFLTA_53,,,D1,,,2195.0,,,,0
G006_SAMSUA_66,,,D1,,,2695.0,,,,0
G192_PLMLME_,,,D1,,,1595.0,,,,0
G243_PTMLTC_54,,,D1,,,2395.0,,,,0
G225_PTALTC_58,,,D1,,,2995.0,,,,0
G256_PTMLMB_60,,,D1,,,2495.0,,,,0
G210_LTML9A_57,,,D1,,,3150.0,,,,0
G232_PTMLC_54,,,D1,,,2495.0,,,,0
G248_PTMLAB_57,,,D1,,,3795.0,,,,0
G213_LTMLMC_60,,,D1,,,3995.0,,,,0
G211_LTMLMB_60,,,D1,,,3495.0,,,,0
TH7970_C4_60,,,D1,,,8415.0,,,,0
TH7900_C4_60,,,D1,,,8415.0,,,,0
TH7945_C5_57,,,D1,,,8415.0,,,,0
TH7957_C2_60,,,D1,,,8415.0,,,,0
TH7915_C2_55,,,D1,,,8925.0,,,,0
TH7882_C6_62,,,D1,,,8400.0,,,,0
TH7906_C2_55,,,D1,,,8925.0,,,,1
TH7917_C1_60,,,D1,,,9565.0,,,,0
TH7918_C5_51,,,D1,,,8925.0,,,,0
TH7983_C4_60,,,D1,,,8415.0,,,,0
TH7969_C4_60,,,D1,,,7650.0,,,,1
TH7945_C4_57,,,D1,,,8415.0,,,,1
TH7905_C4_56,,,D1,,,8415.0,,,,-1
TH808_C1_59,,,D1,,,5610.0,,,,0
CK1217_001_60,,,D1,,,9565.0,,,,1
CK4182S_002_54,,,D1,,,9000.0,,,,1
CK2146SA_001_59,,,D1,,,9000.0,,,,0
CK2145_060_60,,,D1,,,9565.0,,,,0
CK1155_030_59,,,D1,,,6120.0,,,,0
CK1155_272_59,,,D1,,,8750.0,,,,0
CK3154_285_62,,,D1,,,9000.0,,,,-1
CK4151S_001_56,,,T,,,9000.0,,,,0
CK4256S_110_57,,,D1,,,9000.0,,,,0
CK1145S_975_59,,,D1,,,4590.0,,,,2
CK4224S_004_57,,,D1,,,9000.0,,,,0
CK1089S_028_58,,,D1,,,8750.0,,,,0
CK3143S_001_55,,,D1,,,9000.0,,,,0
CK3152_001_57,,,D1,,,5100.0,,,,0
CK4194SP_001_57,,,D1,,,9000.0,,,,1
CK4194S_004_57,,,D1,,,5100.0,,,,0
CK3161S_004_58,,,D1,,,9000.0,,,,-1
CK5387_001_53,,,D1,,,8750.0,,,,0
CK5364A_028_51,,,D1,,,5100.0,,,,1
CK5351_044_52,,,D1,,,7650.0,,,,0
CK5367_044_52,,,D1,,,7650.0,,,,0
CK5327_060_51,,,D1,,,3825.0,,,,0
CK5366A_097_52,,,D1,,,2550.0,,,,0
CK5365_046_51,,,D1,,,2550.0,,,,0
CK5327_714_51,,,D1,,,3825.0,,,,1
CK5351_060_52,,,D1,,,7650.0,,,,0
CK5350_060_54,,,D1,,,7650.0,,,,0
CK5367_403_52,,,D1,,,7650.0,,,,0
CK5350_403_54,,,D1,,,7650.0,,,,0
CK4260_196_55,,,D1,,,3600.0,,,,1
CK1209SA_001_62,,,D1,,,9000.0,,,,0
CK4261_060_55,,,D1,,,3600.0,,,,0
CK3154S_214_62,,,D1,,,9000.0,,,,0
CK1209_003_62,,,D1,,,9000.0,,,,0
CK1209A_010_62,,,D1,,,3600.0,,,,1
CK4216S_320_56,,,D1,,,9000.0,,,,-1
CK1209A_714_62,,,D1,,,3600.0,,,,0
RX6385_2502_53,,,E1,,,4990.0,,,,0
RX5337_5529_54,,,E1,,,4990.0,,,,0
RX6385_2509_51,,,E1,,,4990.0,,,,1
RX6337_2857_51,,,E1,,,5490.0,,,,1
RX6322_2503_53,,,E1,,,4790.0,,,,2
RX6385_2509_53,,,E1,,,4990.0,,,,1
RX6326_2501_54,,,E1,,,4790.0,,,,0
RX5346_5505_52,,,E1,,,5090.0,,,,0
RX5338_5536_53,,,E1,,,4990.0,,,,0
RX7027_2012_54,,,E1,,,4790.0,,,,0
RX6384_2502_54,,,E1,,,4990.0,,,,1
RX6384_2502_52,,,E1,,,4990.0,,,,0
RX6336_2857_51,,,E1,,,5490.0,,,,0
RX5338_5529_51,,,E1,,,4990.0,,,,0
RX7056_2000_53,,,E1,,,6790.0,,,,1
RX6389_2501_57,,,E1,,,3390.0,,,,0
RX7017_2000_54,,,E1,,,7290.0,,,,0
RX7033_2000_52,,,E1,,,5090.0,,,,-1
RX7028_5392_55,,,E1,,,7290.0,,,,-1
RX6386_2500_51,,,E1,,,7790.0,,,,1
RX7014_2000_54,,,E1,,,6290.0,,,,1
RX7014_5068_54,,,E1,,,5990.0,,,,0
RX6241E_2501_52,,,E1,,,5990.0,,,,1
PA7076_C04_M,,,F1,,,4750.0,,,,1
PA7085_CO2_M,,,F1,,,3875.0,,,,1
PA7037_C03_M,,,F1,,,2375.0,,,,1
PA7093_CO3_60,,,F1,,,2950.0,,,,2
PA7104_C01_M,,,F1,,,3350.0,,,,1
PA7092_C03_61,,,F1,,,2950.0,,,,1
PA7086_CO2_M,,,F1,,,3750.0,,,,1
PA7095_C03_M,,,F1,,,3500.0,,,,1
PA7091_CO2_M,,,F1,,,3500.0,,,,1
PA7100_C01_M,,,F1,,,2950.0,,,,1
SC1885_C3_59,,,F1,,,1800.0,,,,3
SC2843_C1_61,,,F1,,,1800.0,,,,3
SC2844_C2_60,,,F1,,,1800.0,,,,1
PR4096_CO3,,,F1,,,2250.0,,,,1
VO2770S_W4411_56,,,G1,,,4590.0,,,,0
VO2778_W4487_58,,,G1,,,4590.0,,,,1
VO2729S_W65613_57,,,G1,,,4690.0,,,,0
VO2795S_W65613_53,,,G1,,,3790.0,,,,-1
VO2894SB_W4411_56,,,G2,,,6490.0,,,,-2
VO2819S_W4411_58,,,G1,,,5990.0,,,,0
VO2894SB_191613_56,,,G1,,,6690.0,,,,-3
VO2870S_235913_52,,,G3,,,5990.0,,,,2
